Pantun_ID,Line_1,Line_2,Line_3,Line_4
Pantun_9475_1,Ruang yang luas duduk pun selesa,Tempat ramai orang berhimpun,Jangan ragu taja berbuka puasa,Pahala sama tak dikurangi sedikit pun.
Pantun_9476_1,Burung dara,burung nuri,Bernyanyi bersama di tepi muara,Tak kira berapa yg diberi
Pantun_9477_1,Tangan memberi dengan ikhlas,Tangan menerima dengan syukur,Senyum ku beri dia membalas,Jalan kedepan aku tersungkur.
Pantun_9478_1,Tersandung kaki tersilap langkah,Lutut berdarah sakit nya di hati,Sucikan hati dengan bersedekah,Agar hidup sentiasa di berkati.
Pantun_9479_1,Pokok turi tinggi segalah,Di hujung taman teguh berdiri,Ikhlas memberi kerana ALLAH,Subur iman bertambah rezeki.
Pantun_9480_1,Majlis meriah ramai kenalan,Antara disaji pulut berinti,Sedekah jariah bukan tontonan,Biarlah menjadi rahsia di hati.
Pantun_9481_1,Anak bulan nampak sudah,Bulan indah bersinar cahayanya,Di bulan mulia kita bersedekah,Semoga Allah memberi ganjaran-Nya.
Pantun_9482_1,Memancing ikan di petang hari,Bersama Tok Ki di Tasik Merah,Penerima doakan pada pemberi,Semoga rezeki bertambah murah.
Pantun_9483_1,Jalan sendirian ditepi hutan,Sampai dihulu memetik berangan,Tiap pemberian penuh keberkatan,Tak perlu pujian dan sanjungan.
Pantun_9484_1,Cantik rumah indah dihias,Dari jauh nampak menyerlah,Tangan memberi penuh ikhlas,Dipandang mulia disisi Allah.
Pantun_9485_1,Pergi sekolah naik teksi,Teksi lama pak cik Hamdan,Rezeki allah dikongsi-kongsi,Sedekah
Pantun_9486_1,Mati seekor burung terkukur,Kerana tercedera di kaki,Yang menerima mesti bersyukur,Yang memberi ikhlas dari hati.
Pantun_9487_1,Sungguh indah alunan irama,Dialunkan orang dari Mukah,Manis sungguh senyuman Anisma,Senyuman juga satu sedekah.
Pantun_9488_1,Anak dara duduk di titi,Mengenang kekasih yang kini jauh,Memberi menerima seikhlas hati,Silaturrahim terikat teguh.
Pantun_9489_1,Rasa gembira tidak terperi,Menerima kain buat basahan,Iklaskan jiwa bila memberi,Hormat menghormati sesama insan.
Pantun_9490_1,Turun sampan naik feri,Berpeti - peti membawa beras,Tangan kanan bila memberi,Didalam hati mesti lah ikhlas.
Pantun_9491_1,Kambing berbiri jauh tersisih,Kaki dihulur sehinga sahur,Tangan memberi mengucap terima kasih,Tangan menghulur biarlah luhur.
Pantun_9492_1,Galah dihulur kait delima,Karung digalas bawa ke laman,Sedekah dihulur syukur terima,Petanda ikhlas insan budiman.
Pantun_9493_1,Dosa pahala di hujung jari,Berita diterima tanpa disukat,Amalkan sedekah setiap hari,Biar sedikit tetapi berkat.
Pantun_9494_1,Masak tumis sambal berlada,Untuk hidangan masa berbuka,Sentiasa bersyukur dengan yang ada,Hati tenang tiada prasangka.
Pantun_9495_1,Terpecah lampu terkena batu,Ketika ke kanan laju mendesah,Orang yang mampu sila bantu,Ringankan bebanan orang susah.
Pantun_9496_1,Halau biri biri ke tepi bukit,Timun ditanam di tanah liat,Walau diberi hanya sedikit,Namun dikenang ke akhir hayat.
Pantun_9497_1,Ikan tenggiri ikan gelama,Dibuat masam enak tak terkira,Yang memberi dan menerima,Biar ikhlas tak banyak bersuara.
Pantun_9498_1,Hasta ukuran luasnya tebing,Titi runtuh patah tiangnya,Harta bagaikan kala jengking,Pasti terbunuh kerana bisanya.
Pantun_9499_1,Cermat serama bila berlari,Merbah di bukit menghalang pula,Nikmat bersama kita syukuri,Usah dungkit hilang pahala.
Pantun_9500_1,Pemimpin berkuasa pasti berbangga,Rakyat diziarah bertemu berjumpa,Lumrah berpuasa lapar dahaga,Zakat fitrah jangan terlupa.
Pantun_9501_1,Tempua terbang jauh,bertaburan,Hinggap berteduh penat didahan,Bukan harta jadi ukuran
Pantun_9502_1,Bumi Mekah disinari bulan,Sang mentari menyinari Kaabah,Hidup bersedekah jadikan amalan,Menginsafi diri pahala ditambah.
Pantun_9503_1,Pagi hari pergi ke sawah,Luas terbentang ciptaan tuhan,Sedekah itu amal jariah,Memberinya ikhlas tanpa paksaan.
Pantun_9504_1,Pak uda mengait buah kelapa,Hendak disangai membuat kerisik,Sedikit menghulur besar pahala,Ganjaran akhirat tiada berlapik.
Pantun_9505_1,Tepi kelas tanam halia,Buah ceri dalam almari,Sifat ikhlas amalan mulia,Kanan memberi sorokkan yang kiri.
Pantun_9506_1,Cantik berseri songket lama,Tenunan ditekat benang sekerat,Budaya memberi adat menerima,Kunci masyarakat bertambah erat.
Pantun_9507_1,Di dahan sekah hinggap merpati,Terlihat lelah jauh terbangnya,Bila sedekah ikhlas di hati,Ganjaran Allah besar nilainya.
Pantun_9508_1,Duduk berangan seorang diri,Duduk sendiri dalam perahu,Kalau tangan kanan memberi,Tangan kiri janganlah tahu.
Pantun_9509_1,Selepas guna kuali digantung,Baru lepas masak penganan,Perbuatan baik tetap dihitung,Hanya membuang duri dijalanan.
Pantun_9510_1,Nangka seulas dibuat pengat,Harum bau nya bila dihidang,Walau setitik ikhlas keringat,Berbakti jua tetap dikenang.
Pantun_9511_1,Manis berseri nangka seulas,Dimakan sama si burung terkukur,Puasa semua jangan malas,Setahun sekali kita bersyukur.
Pantun_9512_1,Mendengar irama lagu cinta,Rasa merana ditanggung badan,Memberi menerima budaya kita,Lebih bermakna di bulan Ramadhan.
Pantun_9513_1,Cantik kenari sudahlah tentu,Menambah seri taman lindungan,Ikhlas memberi juga membantu,Berdiam diri sembunyi tangan.
Pantun_9514_1,Daun palas daun cekur,Bawa ke daik jalan sepadan,Beri ikhlas terima bersyukur,Amalan terbaik bulan Ramadhan.
Pantun_9515_1,Pergi kebaruh naik perahu,Kembang harum bunga melati,Kanan memberi kiri tak tahu,Itu sifat mukmin sejati.
Pantun_9516_1,Rendang ayam ketupat palas,Enak dimakan dara pingitan,Kalau memberi haruslah ikhlas,Takut nanti jadi umpatan.
Pantun_9517_1,Sungguh cantik sirama rama,Cantik lagi emas suasa,Ikhlas memberi ikhlas menerima,Rezeki yang ada sama dirasa.
Pantun_9518_1,Bersinar mentari terasa malas,Penat ditahan duduk di batu,Kalau memberi biarlah ikhlas,Kepada Tuhan memohon restu.
Pantun_9519_1,Di tepi jalan pisang setandan,Disisir lima simpan di peti,Ganda amalan bulan Ramadan,Bersedekah derma seikhlas hati.
Pantun_9520_1,Menjahit atap daun rumbia,Terpancar cahaya di celah dinding:,Jangan mengharap reda manusia,Mencari keredaaNYA itu yang penting.
Pantun_9521_1,Batuan karang laluan lebah,Terbang melata iring rerama,Tiada kurang malah bertambah,Rezeki kita kongsi bersama.
Pantun_9522_1,Sejadah dibentang siap beralas,Terus mengaji jangan malas,Sudah memberi dengan ikhlas,Biar Allah saja yang membalas.
Pantun_9523_1,Gulai pajri si kuih bangkit,Ayam serama si burung tekukur,Yang memberi jangan mengungkit,Yang menerima ucapkan syukur.
Pantun_9524_1,Kail ikan guna joran,Mata pancing tersangkut sampah,Bertukar juadah sesama jiran,Waktu berbuka rezeki melimpah.
Pantun_9525_1,Hiasan kelas bunga dahlia,Ukiran batu dilukis cermat,Sedekah ikhlas amalan mulia,Saling membantu sesama umat.
Pantun_9526_1,Hinggap nuri dipohon pulasan,Cantik terserlah kicau berbalas,Usah memberi harap balasan,Cukup Allah menilai ikhlas.
Pantun_9527_1,Cantik berseri dadanan dihias,Indah bercahaya bak bidadari,Andai memberi biarlah ikhlas,Syukur hadir nun disanubari.
Pantun_9528_1,Tangan kanan yang memberi,Tangan kiri disorokkan,Ikhlas sembunyi di dalam diri,Reda illahi nan dihajatkan.
Pantun_9529_1,Niat memberi biarlah rahsia,Budi bahasa ikhlas dalam hati,Bertuah hidup di malaysia,Negara aman rakyat murah hati.
Pantun_9530_1,Dimakan olih siburung tekukur,Tekukur dijerat olih Pak Dolah,Banyakkan sedekah jgn takbur,Semoga amalan diberkati Allah.
Pantun_9531_1,Pulau Pandan jauh ke tengah,Gunung Tahan megah di persada,Hadirnya Ramadhan penuh barakah,Setiap amalan pahala berganda.
Pantun_9532_1,Terbang rerama di dedaun lebat,Di celahan duri tersangkut melekat,Syukur menerima rezeki didapat,Rezeki pemberi bertambah berkat.
Pantun_9533_1,Buah kurma dari Mekah,Hendak disimpan dalam peti,Bulan Ramadhan banyakkan bersedekah,Amalan mulia lagi diberkati.
Pantun_9534_1,Atur sambungan merentas jeti,Sebelum malam papan diukur,Hulur sumbangan seikhlas hati,Senyum bersulam ucapan syukur.
Pantun_9535_1,Dimakan sama burung tekukur,Berkongsi rakan burung kenari,Tangan terima mengucap syukur,Allah gandakan rezeki pemberi.
Pantun_9536_1,Bulan ramadhan bulan mulia,Bulan berkat beribu pahala,Bersedekah amalan mulia,Moga beroleh berlipat pahala.
Pantun_9537_1,Kias berkias bersama-sama,Gelak ketawa mengilai-ngilai,Ikhlas memberi ikhlas juga diterima,Selebihnya Allah juga yang menilai.
Pantun_9538_1,Tertusuk duri kala meniti,Bawa serama tuju pesara,Kalau memberi setulus hati,Yang menerima pasti gembira.
Pantun_9539_1,Manis bersari nangka seulas,Buang empulur dimakan lembu,Bila memberi biarlah ikhlas,Kanan menghulur kiri tak tahu.
Pantun_9540_1,Harum melati dihinggap kenari,Pohonnya tinggi di hujung desa,Ikhlaskan hati tatkala memberi,Cukup bersaksi Yang Maha Esa.
Pantun_9541_1,Cantik berjalur warna kelabu,Kebaya nyonya indah terserlah,Sedekah dihulur sekadar termampu,Walau hanya sebesar zarah.
Pantun_9542_1,Nangka seulas dibuat pengat,Kesedapan terasa lahir Alhamdulillah,Sedekah ikhlas selalu diingat,Semoga sentiasa diberkati Allah.
Pantun_9543_1,Lemah dan lembut tekukur menari,Takut tersungkur geraknya perlahan,Penghargaan disebut pada pemberi,Menzahirkan syukur kepada Tuhan.
Pantun_9544_1,Seri Rama mitos handalan,Dipuja namanya Raja ternama,Memberi menerima aturan kehidupan,Khazanah dunia kita kongsi bersama.
Pantun_9545_1,Manis bersari nangka seulas,Dimakan sama burung tekukur,Wajah berseri tanda ikhlas,Langkah diayun tidaklah tersungkur.
Pantun_9546_1,Manis masam sibuah markisa,Colek dengan kicap pekat,Orang memberi kita merasa,Jiran sepakat membawa berkat.
Pantun_9547_1,Longan dan ceri bawa ke Daik,Gaul delima kelapa kukur,Tangan memberi tentulah baik,Kiri terima ucaplah syukur.
Pantun_9548_1,Pohon berangan si pokok leban,Daunnya layu jarang berbuah,Hulurkan tangan ringankan beban,Saling membantu pererat ukhuwah.
Pantun_9549_1,Tepung pelita tampak merekah,Enak terperi menambat hati,Ikhlas mulia amalan sedekah,Dilimpah rezeki moga dirahmati.
Pantun_9550_1,Manis bersari nangka seulas,Dimakan sama si burung tekukur,Tangan memberi dengan ikhlas,Tangan menerima dengan syukur.
Pantun_9551_1,Buah limau di dalam dulang,Dulang berisi cendawan butang,Harimau mati tinggalkan belang,Orang mati selalu tinggalkan hutang.
Pantun_9552_1,Minyak sawit dalam peti,Tampi padi di tepi bukit,Banyak duit tak bawa mati,Tapi rasa mati jika tak berduit.
Pantun_9553_1,Tingkap kayu papan bersegi,Sampan sakat di Pulau Angsa,Indah tampan kerana budi,Tinggi bangsa kerana bahasa.
Pantun_9554_1,Teritip tiram tergantung,Limau manis banyak bijinya,Pilih-pilih muda sekampung,Hitam manis baik budinya.
Pantun_9555_1,Merah itu saga yang lorek itu kendi,Kata bermadah indah bahasanya,Mulianya hati sanjungan budi,Tetap dikenang selama-lamanya.
Pantun_9556_1,Pagi pagi meraut lidi,Duduk bersimpuh di atas upih,Ramai orang menanam budi,Wang dan harta juga yg di pilih.
Pantun_9557_1,Bekas pecah merendam padi,Daun diramas merendang kerang,Puas sudah menanam budi,Namun emas juga dipandang orang.
Pantun_9558_1,Bagaimana nak tanam selasih,Tanamlah mari di rumpun keladi,Bagaimana hati nak kasih,Kasih bercampur denganlah budi.
Pantun_9559_1,Tentulah ringgit dipandang orang,Duit sedikit lagikan dikenang,Hutang budi hilang melayang,Bahasa indah orang tak pandang.
Pantun_9560_1,Buku tersusun di atas meja,Nampak kemas ringan tangan,Kekayaan hanya sementara saja,Budi bahasa jadi sanjungan.
Pantun_9561_1,Biar sutera cantik dipandang,Kasa jua tetap dicari,Budi bahasa tetap dipandang,Ringgit juga tetap dicari.
Pantun_9562_1,Burung serindit terbang melayang,Hinggap sebentar di ranting mati,Bukan ringgit di pandang orang,Amalan dan pahala di bawa mati.
Pantun_9563_1,Bunga Mentari kembang cantik,Jadi hiasan di halaman rumah,Berakhlak tinggi berbudi baik,Lebih murni jika peramah.
Pantun_9564_1,Serindit hinggap di pohon mati,Setelah penat jauhnya terbang,Baik budi tinggi pekerti,Sepanjang masa di kenang orang.
Pantun_9565_1,Anak dara pulang ke desa,Bawa sebakul bunga hiasan,Indah budi indahnya bahasa,Bersopan santun budaya warisan.
Pantun_9566_1,Sekawan serindit dari seberang,Hinggap dibendang memakan padi,Bukan ringgit dipandang orang,Tapi memandang bahasa dan budi.
Pantun_9567_1,Terbang serindit tuju seberang,Singgah di padang di rumpun keladi,Bukannya ringgit dipandang orang,Tapi memandang bahasa dan budi.
Pantun_9568_1,Burung serindit terbang melayang,Terhenti hinggap diranting mati,Pamirkan senyum manis dipandang,Kerana ini menyejukkan hati.
Pantun_9569_1,Burung serindit terbang berkawan,Hinggap sebentar didahan mati,Akhlak baik ramai kawan,Begitu mudah menabur budi.
Pantun_9570_1,Burung serindit terbang melayang,Terhenti hinggap di ranting mati,Punya wang ringgit ramai yang sayang,Miskin kayap tiada yang perhati.
Pantun_9571_1,Jangan dijolok sarang tempua,Jatuh nanti bertabur sekeliling,Walaupun tidak kepada semua,Terkadang ringgit jua dijeling.
Pantun_9572_1,Menghalau beruk bermain di pantai,Ombak kuat beralun di lautan,Kalau buruk kain dipakai,Deme buat layan tak layan.
Pantun_9573_1,Mendaki bukit membawa barang,Barang dibawa dari Beranang,Bukan ringgit dipandang orang,Hati yang mulia lagi dikenang.
Pantun_9574_1,Burung serindit diranting mati,Terbang melayang niat tak henti,Mengenang duit tujuan di hati,Risau menginjak maruah diri.
Pantun_9575_1,Merah bebenor epal masak,Ayor kuning di dalam gelas,Malas belajor kenape pulak,Bior rajin jangan pemalas.
Pantun_9576_1,Orang kota datang bertamu,Ke rumah desa Kampung Sialang,Belajarlah kita menuntut ilmu,Demi masa hadapan gemilang.
Pantun_9577_1,Mengikat janji sewaktu bertemu,Pertalian erat kukuh selamanya,Manakan rugi menuntut ilmu,Pengetahuan luas serlah cerdiknya.
Pantun_9578_1,Sorong papan tarik papan,Buah petai dalam perahu,Suruh makan laju jer kau makan,Dah makan belajar
Pantun_9579_1,Ikan sepat dari serkat,Makan seorang sambil berangan,Ilmu di dapat dikongsi berkat,Di sayang org pahala berpanjangan.
Pantun_9580_1,Mangga ditut dipangkal dahan,Berbuah lagi tidakkan jemu,Ilmu dituntut satu kefardhuan,Jahilkan pergi hikmah bertemu.
Pantun_9581_1,Tuturnya santun buatku terleka,Terasa berat menganggu fikiran,Belajar berpantun suka-suka,Ikutlah syarat patuhi peraturan.
Pantun_9582_1,Bersampan perahu kerumah nyonya,Sayang cindai tepi perigi,Kalau tak tahu kita bertanya,Sudah pandai berlajarlah lagi.
Pantun_9583_1,Beli cuka jauh ke Banjar,Terus ke Genting tempat saudara,Terima suka ditunjuk ajar,Jangan melenting meninggi suara.
Pantun_9584_1,Budak berkejar ke arah perahu,Berebut anggur hijau merah,Baru belajar dah berlagak tahu,Bila ditegur melenting marah.
Pantun_9585_1,Pokok temu tumbuh sejajar,Ditanah liat desa sempadan,Jangan jemu untuk belajar,Selagi hayat dikandung badan.
Pantun_9586_1,Pukul bedok di subuh hari,Mentari bersinar tinggi se jengkal,Mencari ilmu setiap hari,Agar menjadi insan berakal.
Pantun_9587_1,Sepasang pekaka terbang berkejar,Ke arah barat macam berkelahi,Suka-suka mahu belajar,Peraturan syarat mesti dipatuhi.
Pantun_9588_1,Tanam sejajar setinggi bahu,Mawar cantik berbau wangi,Tidak belajar mana tahu,Insan cerdik orang sayangi.
Pantun_9589_1,Pergi kehutan menjerat rusa,Jerat memakan diri sendiri,Hormati guru setiap masa,Supaya berkat ilmu dipelajari.
Pantun_9590_1,Pokok selasih ditepi pagar,Sayang tiada siapa yang punya,Semua perkara harus belajar,Supaya tahu buruk baiknya.
Pantun_9591_1,Menjemur jamu didalam bijana,Letak dianjung jatuh tergolek,Tuntutlah ilmu walau dimana,Dunia dijunjung akhirat dikelek.
Pantun_9592_1,Seri Langkat nama diberi,Tempat bertemu sang pemburu,Asahkan bakat tonjolkan diri,Hendak berilmu carilah guru.
Pantun_9593_1,Lilau perahu celah seburu,Tebing sejajar curam pinggiran,Kalau tak tahu carilah guru,Rajin belajar tajam fikiran.
Pantun_9594_1,Ayam katik terkejar-kejar,Lari sejajar tuju perahu,Mari adik mari belajar,Tidak belajar mana tahu.
Pantun_9595_1,Burung pekaka tenggek di pagar,Anak pepatung terbang ke tasik,Suka suka kita belajar,Belajar pantun di sajian klasik.
Pantun_9596_1,Rasa berdebar mengolah sukun,Dini meluru menyimpan kendi,Kala belajar mestilah tekun,Santuni guru sopan berbudi.
Pantun_9597_1,Pulau sejajar telah ditemu,Langgas senada sepakat dikir,Kalau belajar usahlah jemu,Mencergas minda ligat berfikir.
Pantun_9598_1,Padi semaian diguni lusuh,Dijemur takut dimakan bena,Dari buaian sudah diasuh,Tuntutlah ilmu walau kenegara China.
Pantun_9599_1,Penat mengejar sakit lutut,Berebut cempedak manis isinya,Pergi belajar memang dituntut,Pandai tidak bukan soalnya.
Pantun_9600_1,Anak ikan suka berlumba,Selalu dibuat waktu pagi,Dalam belajar kita mencuba,Andai gagal usahalah lagi.
Pantun_9601_1,Kudup kuini sebelah titi,Mekar sekata alih ke desa,Suka dan duka silih berganti,Mengajar kita lebih dewasa.
Pantun_9602_1,Bermain sojar tiasa lesi,Tersimbah tauhu susu dirasa,Rajin belajar masa terisi,Menambah tahu isu semasa.
Pantun_9603_1,Gadis banjar dayung perahu,Berbaju batik mahu ke mana,Sudah belajar semua tahu,Hendak kritik biar membina.
Pantun_9604_1,Buah pinang bawa belayar,Buat dagang di pulau seberang,Susah senang kenalah belajar,Dah besar tak susahkan orang.
Pantun_9605_1,Ambil tebu ditepi rumah,Cabut ubi bersama akar,Sedikit ilmu jika berhikmah,Garam selaut jadi tawar.
Pantun_9606_1,Tumbuh sejajar pohon keranji,Di sebelahnya rapat pohon pulasan,Suka belajar amalan terpuji,Janganlah cepat merasa bosan.
Pantun_9607_1,Ingin belajar bahasa banjar,Tata cara mesti sopan,Wajib ada minat belajar,Tidak rugi dimasa hadapan.
Pantun_9608_1,Buah cempedak di luor pagor,Ambil guni tolong balutkan,Rajin tekun mahu belajor,Malas belajor kita ketinggalan.
Pantun_9609_1,Makan laksa diluar pagar,Makan mee dalam bilik,Kalau kita suka belajar,Benda susah tak pelik.
Pantun_9610_1,Nyior bantut di hujung sana,Tidaklah gayat dipetik tandan,Ilmu dituntut walau di mana,Selagi hayat dikandung badan.
Pantun_9611_1,Membeli minyak tak perlu berkejar,Dijual merata di serata kedai,Semakin banyak kita belajar,Tahulah kita yang kita tak pandai.
Pantun_9612_1,Pilihan Jamu produk Banjar,Ramuan kaya mutu dan rasa,Beroleh ilmu perlu belajar,Baru berjaya nusa dan bangsa.
Pantun_9613_1,Waktu pagi mengambil temu,Cuaca redup hala ke barat,Tidak rugi menuntut ilmu,Untuk bekalan dunia akhirat.
Pantun_9614_1,Cuka-cuka beli dibandar,Makanan sihat lagi berkat,Ilmu didapat harus disibar,Hidup berkat dunia akhirat.
Pantun_9615_1,Nangka-nangka usah runtun,Bimbang keluang datang kejar,Suka-suka karang pantun,Ada ruang untuk siar.
Pantun_9616_1,Tumbuh sejajar pohon gaharu,Hinggap merpati di dahan langsat,Kita belajar perlu berguru,Tidak nanti akan tersesat.
Pantun_9617_1,Jangan jemu Untuk bertanya,Ilmu dipunya manfaatkan berguna,Menuntut ilmu wajib hukumnya,Sekalipun jauhnya ke negeri cina.
Pantun_9618_1,Budak lasak nyalakan api,Bersama rakan halau serangga,Belajar masak tengok resepi,Enak dimakan seisi keluarga.
Pantun_9619_1,Tanam kemboja rapat rapat,Agar tempat menjadi redup,Banyak belajar ilmu pun dapat,Ilmu jadi bekalan hidup.
Pantun_9620_1,Berkicau burung didahan rendang,Cerah cuaca disinari mentari,Ilmu dicari maruah disandang,Bekalan hidup kemudian hari.
Pantun_9621_1,Teliti-teliti membeli durian,Takut terkena buah yang muda,Hati-hati terima pujian,Riak tak ke mana biarlah berpada.
Pantun_9622_1,Berlari lari si anak kaldai,Jatuh seekor dalam perigi,Jangan buat berlagak pandai,Cari tok guru belajarlah lagi.
Pantun_9623_1,Tidak bertemu sedih terharu,Terganggu emosi dimasa sukar,Tuntutlah ilmu bersama guru,Tiada aplikasi dapat ditukar.
Pantun_9624_1,Sopan bersantun gadis Melaka,Manis orangnya pandai bermadah,Belajar berpantun suka-suka,Pastikan bahasanya sentiasa indah.
Pantun_9625_1,Rai tetamu makan bersama,Riang di sisi lupa segala,Menuntut limu tuntutan agama,Boleh dikongsi berladang pahala.
Pantun_9626_1,Cuka-cuka beli di bandar,Simpan makan dalam perahu,Suka-suka mahu belajar,Tidak belajar mana tahu.
Pantun_9627_1,Memikat burung membawa jebak,Hibur hati jiwa yang lara,Bersama kita perangi wabak,Covid berkubur negara sejahtera.
Pantun_9628_1,Lebarnya kain trepan,Bila ditarik jangan sampai rabak,Mari bantu barisan hadapan,Berusaha kita hapuskan wabak.
